id;tit;u1;sty;cou;lan;btr
94267;1.FM - All Euro 80's Radio;http://strm112.1.fm/80s_90s_mobile_mp3;european music,80s;Switzerland;English;64
94285;1.FM - All Times & Urban Gospel Radio;http://strm112.1.fm/gospel_mobile_mp3;gospel;Switzerland;English;64
94259;1.FM - Alternative Rock X Hits Radio;http://strm112.1.fm/x_mobile_mp3;alternative rock;Switzerland;English;128
90276;1.FM - Always-Christmas Radio;http://strm112.1.fm/christmas_mobile_mp3;christmas music;Switzerland;English;64
88947;1.FM - America's Best Ballads Radio;http://strm112.1.fm/onelive_mobile_mp3;ballads;Switzerland;English;64
94251;1.FM - Amsterdam Trance Radio;http://strm112.1.fm/atr_mobile_mp3;trance;Switzerland;English;128
94263;1.FM - Back To The 50's & 60's Radio;http://strm112.1.fm/60s_70s_mobile_mp3;50s,60s;Switzerland;English;64
94261;1.FM - Bay Smooth Jazz Radio;http://strm112.1.fm/smoothjazz_mobile_mp3;smooth jazz;Switzerland;English;64
88934;1.FM - Blues Radio;http://strm112.1.fm/blues_mobile_mp3;blues;Switzerland;English;128
94293;1.FM - BOM Psytrance Radio;http://strm112.1.fm/psytrance_mobile_mp3;psytrance;Switzerland;English;128
94265;1.FM - Bombay Beats India Radio;http://strm112.1.fm/bombaybeats_mobile_mp3;bollywood;Switzerland;English;64
94275;1.FM - Bossa Nova Hits Radio;http://strm112.1.fm/bossanova_mobile_mp3;latin jazz;Switzerland;English;64
94304;1.FM - Brazilian Birds Radio;http://strm112.1.fm/brazilianbirds_mobile_mp3;ambient;Switzerland;English;64
86855;1.FM - Cafe Radio;http://strm112.1.fm/caferadio_mobile_mp3;pop,latin,world music;Switzerland;English;64
90266;1.FM - Chillout Lounge Radio;http://strm112.1.fm/chilloutlounge_mobile_mp3;chillout,lounge;Switzerland;English;128
94291;1.FM - Circuit Pride Radio;http://strm112.1.fm/circuitpride_mobile_mp3;lgbt,gay;Switzerland;English;64
94258;1.FM - Classic Country Radio;http://strm112.1.fm/ccountry_mobile_mp3;classic country;Switzerland;English;64
94257;1.FM - Classic Rock Replay Radio;http://strm112.1.fm/crock_mobile_mp3;classic rock;Switzerland;English;64
94280;1.FM - Club 1 Radio;http://strm112.1.fm/club_mobile_mp3;electronica;Switzerland;English;128
94279;1.FM - Costa Del Mar;http://strm112.1.fm/costadelmarchillout_mobile_mp3;chill;Switzerland;English;64
94276;1.FM - Country One Radio;http://strm112.1.fm/country_mobile_mp3;country;Switzerland;English;128
94256;1.FM - Dance One Radio;http://strm112.1.fm/dance_mobile_mp3;electronica;Switzerland;English;128
94273;1.FM - Deep House Radio;http://strm112.1.fm/deephouse_mobile_mp3;techno,deep house;Switzerland;English;64
94271;1.FM - Destination: SPA Radio;http://strm112.1.fm/spa_mobile_mp3;new age,relax;Switzerland;English;64
94270;1.FM - Disco Ball 70's-80's Radio;http://strm112.1.fm/disco_mobile_mp3;disco;Switzerland;English;64
94300;1.FM - Dubstep Forward Radio;http://strm112.1.fm/dubstep_mobile_mp3;dubstep;Switzerland;English;128
94281;1.FM - Eternal Praise & Worship Radio;http://strm112.1.fm/praise_mobile_mp3;christian contemporary;Switzerland;English;64
94305;1.FM - Exitos del Ayer Radio;http://strm112.1.fm/spanisholdies_mobile_mp3;spanish;Switzerland;English;64
94299;1.FM - Funky Express Radio;http://strm112.1.fm/funkyexpress_mobile_mp3;funk;Switzerland;English;64
94290;1.FM - Gorilla FM Radio;http://strm112.1.fm/gorillafm_mobile_mp3;progressive rock,indie rock,alternative rock;Switzerland;English;64
94272;1.FM - High Voltage Radio;http://strm112.1.fm/highvoltage_mobile_mp3;rock,alternative rock,metal;Switzerland;English;64
94306;1.FM - Italia On Air Radio;http://strm112.1.fm/italiaonair_mobile_mp3;italian pop;Switzerland;English;64
94268;1.FM - Jamz Radio;http://strm112.1.fm/jamz_mobile_mp3;hiphop,soul,rnb;Switzerland;English;64
94289;1.FM - Kids FM Radio;http://strm112.1.fm/kidsfm_mobile_mp3;kids;Switzerland;English;64
94269;1.FM - Love Classics Radio;http://strm112.1.fm/loveclassics_mobile_mp3;love songs;Switzerland;English;64
94298;1.FM - Magic 80 Radio;http://strm112.1.fm/magic80_mobile_mp3;1980s,80s;Switzerland;English;64
94286;1.FM - Movie Soundtracks Hits Radio;http://strm112.1.fm/moviesoundtracks_mobile_mp3;movie soundtracks;Switzerland;English;64
94295;1.FM - MPB Hits Radio;http://strm112.1.fm/mpb_mobile_mp3;brazilian music;Switzerland;English;64
92346;1.FM - Otto's Baroque Music Radio;http://strm112.1.fm/baroque_mobile_mp3;baroque,classical;Switzerland;English;64
94284;1.FM - Otto's Classical Music Radio;http://strm112.1.fm/classical_mobile_mp3;classical;Switzerland;English;64
94283;1.FM - Otto's Opera House Music Radio;http://strm112.1.fm/opera_mobile_mp3;opera;Switzerland;English;64
94302;1.FM - Polska FM Radio;http://strm112.1.fm/polskafm_mobile_mp3;polska;Switzerland;English;64
94294;1.FM - Radio Gaia;http://strm112.1.fm/radiogaia_mobile_mp3;world music;Switzerland;English;64
70285;1.FM - ReggaeTrade Radio;http://strm112.1.fm/reggae_mobile_mp3;reggae;Switzerland;English;64
94274;1.FM - Rock Classics Radio;http://strm112.1.fm/rockclassics_mobile_mp3;classic rock;Switzerland;English;64
94287;1.FM - Samba Hits Brazil Radio;http://strm112.1.fm/samba_mobile_mp3;samba;Switzerland;English;64
94297;1.FM - Samba Rock Radio;http://strm112.1.fm/sambarock_mobile_mp3;samba;Switzerland;English;64
94288;1.FM - Sax4Love;http://strm112.1.fm/sax4ever_mobile_mp3;jazz;Switzerland;English;64
94307;1.FM - Sertaneja Hits Radio;http://strm112.1.fm/sertanejo_mobile_mp3;brazilian music;Switzerland;English;64
94282;1.FM - Slow Jamz Radio;http://strm112.1.fm/slowjamz_mobile_mp3;soul,rnb;Switzerland;English;128
94301;1.FM - Top Fiesta Radio;http://strm112.1.fm/spanishparty_mobile_mp3;latin music;Switzerland;English;64
94296;1.FM - Total Hits En Español Radio;http://strm112.1.fm/spanishtophits_mobile_mp3;spanish;Switzerland;English;64
91863;10 Radio 105.3 - Wiveliscombe;http://live.canstream.co.uk:8000/10radio.mp3;somerset,wivelliscombe,community radio;United Kingdom;English;48
76079;100 FM;http://213.8.143.168/100fmAudio;;Israel;Hebrew;128
92454;100 JAMZ - 100.3  Nassau;http://100jamz.streamon.fm/stream/100JAMZ-24k.aac;hit music,nassau;Bahamas;English;24
91854;100% Dragon Hits;http://s4.xrad.io:8004/listen.pls;commercial,somerset,west,south wales,rock,dance,pop,music;United Kingdom;English;48
71096;100% NL;http://stream.100p.nl/100pctnl.mp3;;Netherlands;Dutch;128
90765;100% PartySchlager;"http://schlagerplanet.hoerradar.de/schlagerplanet-party-mp3-hq?sABC=586953n5%231%2361s5osq1428snr8p3940q125o9rsp57s%23yvirbayvarenqvb?glcr=.zc3&amsparams=playerid:liveonlineradio%3Ftype%3D.mp3;skey:1483297701";;Germany;German;192
86126;100% Radio 80;http://100radio-80.ice.infomaniak.ch/100radio-80-128.mp3;;France;French;128
86127;100% Radio 90;http://100radio-90.ice.infomaniak.ch/100radio-90-64.aac;;France;French;64
86116;100% Radio Albi;http://100radio-albi.ice.infomaniak.ch/100radio-albi-128.mp3;;France;French;128
86118;100% Radio Auch;http://100radio-auch.ice.infomaniak.ch/100radio-auch-128.mp3;;France;French;128
86119;100% Radio Carcassonne;http://100radio-carcassonne.ice.infomaniak.ch/100radio-carcassonne-128.mp3;;France;French;128
86120;100% Radio Castres;http://100radio-castres.ice.infomaniak.ch/100radio-castres-128.mp3;;France;French;128
91380;100% Radio Catalogne;http://100radio-perpignan.ice.infomaniak.ch/100radio-perpignan-128.mp3;;France;French;128
86121;100% Radio Foix;http://100radio-foix.ice.infomaniak.ch/100radio-foix-128.mp3;;France;French;128
86128;100% Radio Hit;http://100radio-hit.ice.infomaniak.ch/100radio-hit-128.mp3;;France;French;128
86129;100% Radio Love;http://100radio-love.ice.infomaniak.ch/100radio-love-128.mp3;;France;French;128
86122;100% Radio Montauban;http://100radio-montauban.ice.infomaniak.ch/100radio-montauban-128.mp3;;France;French;128
86123;100% Radio Pau;http://100radio-pau.ice.infomaniak.ch/100radio-pau-128.mp3;;France;French;128
86130;100% Radio Souvenirs;http://100radio-souvenirs.ice.infomaniak.ch/100radio-souvenirs-128.mp3;;France;French;128
86124;100% Radio St Gaudens;http://100radio-stgaudens.ice.infomaniak.ch/100radio-stgaudens-128.mp3;;France;French;128
86125;100% Radio Tarbes;http://100radio-tarbes.ice.infomaniak.ch/100radio-tarbes-128.mp3;;France;French;128
80723;100,5 Das Hitradio;http://dashitradio-mp3-8000.skydisc.net:8000/dashitradio-live.mp3;Lederland,news,rock,hits,pop;Belgium;German;128
92307;100.1 FM;http://radio7.domint.net:8096/;pop,top 40;Dominican Republic;English, Spanish;48
86692;1000 Discohits;http://stream.laut.fm/1000discohits;80s,70s,oldies,disco,dance;Germany;;0
92459;1000 Hits Country;https://streaming.radionomy.com/1000HITSCountry;country;Spain;English, Spanish;128
96521;1000 HITS Love;http://c2.auracast.net:8097/stream;;Germany;;128
86691;1000 Melodien;http://stream.laut.fm/1000melodien;ambient,easy listening,instrumental;Germany;;0
77262;1000 Oldies;http://stream.laut.fm/1000oldies;80s,70s,60s,50s,rock,pop,oldies;Germany;;0
82098;1000 Oldies Hits;http://listen.radionomy.com/1000Oldies;oldies,50s,60s,70s;Spain;Spanish;128
96682;100hitz - 90's Alternative;"http://173.244.215.162:8220/;stream";90s,decades,alternative;United States of America;English;128
96681;100hitz - Alternative;"http://206.217.213.235:8230/;stream";alternative,modern rock,rock;United States of America;English;128
96676;100Hitz - HotHitz;"http://173.244.215.162:8290/;stream";pop,top 40,hot hits,hot adult contemporary;United States of America;English;128
96675;100hitz - Indie;"http://206.217.213.236:8360/;stream";indie rock,indie pop,alternative;United States of America;English;128
96679;100hitz - Metal;"http://173.244.215.163:8350/;stream";metal,classic metal,death metal,power metal,extreme metal;United States of America;English;128
96680;100hitz - New Country;"http://173.244.215.162:8120/;stream";contemporary country,hot country hits,country;United States of America;English;128
96678;100hitz - Rap;"http://173.244.215.162:8170/;stream";rap,hiphop,west coast rap,east coast rap,underground hiphop;United States of America;English;128
96674;100hitz - Rock;"http://173.244.215.162:8240/;stream";rock,hard rock;United States of America;English;128
96677;100hitz - The Mix;"http://173.244.215.162:8280/;stream";adult contemporary,pop,top 40,easy listening;United States of America;English;128
96673;100hitz - Top 40;"http://173.244.215.162:8300/;stream";top 40;United States of America;English;128
96672;100hitz - Urban;"http://173.244.215.162:8180/;stream";rnb,urban,rap,hiphop,contemporary rnb;United States of America;English;128
92793;100XR.com  New York, NY;"http://107.170.188.129/;";alternative rock,rock;United States of America;English;128
95816;101.ru - Aria;http://ic7.101.ru:8000/a118.m3u;metal,heavy metal,rock,russian rock;Russia;Russian;64
86843;101.ru - Beatles;http://ic2.101.ru:8000/c10_3;oldies,rock,beat;Russia;Russian;0
95810;101.ru - DDT;http://ic2.101.ru:8000/a112.m3u;rock,russian rock;Russia;Russian;64
95820;101.ru - Lube;http://ic7.101.ru:8000/a158.m3u;rock,russian rock;Russia;Russian;64
95815;101.ru - New Age;http://ic7.101.ru:8000/c7_14.m3u;new age;Russia;Russian;128
95813;101.ru - Russian Rock;http://ic7.101.ru:8000/c1_2.m3u;rock,russian rock;Russia;Russian;0
95814;"101.ru - Viktor Tsoi and ""Kino"" band";http://ic7.101.ru:8000/a103.m3u;rock,russian rock;Russia;Russian;64
95121;101.ru Office Lounge;http://ic7.101.ru:8000/c2_1;lounge;Russia;Russian;0
93242;101FM - 2000er;http://stream1.laut.fm/0-24_2000er_pop_rock;hiphop,dance,rock,pop;Germany;German;0
90863;101FM - 80s;http://stream.laut.fm/0-24_80er_pop_rock;80er,Pop,Rock;Germany;German;0
90865;101FM - 90s;http://stream.laut.fm/0-24_90er_pop_rock;90er,Pop,Rock;Germany;German;0
90866;101FM - Charts;http://stream.laut.fm/0-24_charts_pop_rock;Charts,Dance,Pop,Hits,Top 100;Germany;German;0
90867;101FM - Main;http://stream.laut.fm/101fm;Top 40,Pop,Rock;Germany;German;0
90864;101FM - Oldies;http://stream.laut.fm/0-24_oldies_pop_rock;Oldies,Pop,Rock;Germany;German;0
90862;101FM - Schlager;http://stream.laut.fm/0-24_schlager_volksmusik;Schlager,Volksmusik;Germany;German;0
65159;103.7 UnserDing (128k);http://streaming01.sr-online.de/unserding_2.m3u;pop;Germany;German;128
45039;103.7 UnserDing - Schwarz;http://streaming02.sr-online.de/unserding-schwarz.m3u;hiphop,black;Germany;German;128
45038;103.7 UnserDing - Zukunft;http://streaming02.sr-online.de/unserding-zukunft.m3u;pop;Germany;German;128
89665;103.8 FM Brava Radio;http://mra.rastream.com/mra_brava;news,talk,soul,pop,rnb,jazz;Indonesia;Indonesian;48
58611;104.6 RTL;http://stream.104.6rtl.com/rtl-live/mp3-192/radio-browser.info/;Morning Show,Hits,Adult Contempary;Germany;German;192
94176;104.6 RTL 60er & 70er;http://stream.104.6rtl.com/rtl-60er70er/mp3-128/radio-browser.info/;70er,60er,1970s,70s,1960s,60s,Oldies;Germany;German;128
92075;104.6 RTL Best of Black;http://stream.104.6rtl.com/rtl-black/mp3-128/radio-browser.info/;R&B,HipHop,Rap,Urban;Germany;German;128
92076;104.6 RTL Best of Rock;http://stream.104.6rtl.com/rtl-poprock/mp3-128/radio-browser.info/;Pop,Rock;Germany;German;128
92077;104.6 RTL Das Beste der 80er;http://stream.104.6rtl.com/rtl-80er/mp3-128/radio-browser.info/;80er,1980s,80s;Germany;German;128
92078;104.6 RTL Das Beste der 90er;http://stream.104.6rtl.com/rtl-90er/mp3-128/radio-browser.info/;90er-jahre,90er,1990s,90s;Germany;German;128
66377;104.6 RTL Die besten neuen Hits;http://stream.104.6rtl.com/rtl-neue-hits/mp3-128/radio-browser.info/;Germany,Berlin,New,Hits;Germany;German;128
97068;104.6 RTL Top 40;http://stream.104.6rtl.com/rtl-top40/aac-64/radio-browser.info/;Berlin,Pop,Charts,Top 40;Germany;German;64
90998;1047hit;"http://s8.voscast.com:7528/;stream1483728563212/1";;Costa Rica;Spanish;64
45221;105 Hitradio;http://radio.netstream.ch/planet105_128k_mp3;Pop,Dance;Switzerland;German;128
58607;105'5 Spreeradio;http://stream.spreeradio.de/spree-live/mp3-192/radio-browser.info/;Germany,Berlin,Hits,Mix;Germany;German;192
92060;105'5 Spreeradio 80er;http://stream.spreeradio.de/spree-80er/mp3-128/radio-browser.info/;80er,1980s,berlin,80s;Germany;German;128
94173;105'5 Spreeradio Love;http://stream.spreeradio.de/spree-love/mp3-128/radio-browser.info/;Amore,Liebe,Lovesongs,Love;Germany;German;128
88027;105.4 Cascais;http://94.23.76.235:9896/;alternative,rock;Portugal;Portuguese;128
89286;1055 Rock;http://radio.1055rock.gr:30000/1055;Rock;Greece;Greek;128
92101;105‘5 Spreeradio Rock;http://stream.spreeradio.de/spree-rock/mp3-128/radio-browser.info/;Soft Rock,Rock;Germany;German;128
62929;106,9 Radio Gong Würzburg;http://mp3ad.gongwb.c.nmdn.net/ps-gongwb/livestream.mp3;;Germany;German;128
45935;106.3 The Lounge - Port Douglas, QLD;http://www.fast-serv.com/live/stream.pls?host=ic2329.c564.fast-serv.com&port=80&path=/stream;port douglas,relax,lounge,Smooth Jazz;Australia;English;128
96081;"107.7 ""Music for Life"" Port of Spain";http://fms.96wefm.com:1936/live/1077fm.sdp/playlist.m3u8;port of spain,soul;Trinidad and Tobago;English;0
97452;110.FM Classic Rock;https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://66.85.88.18:5116/listen.pls&t=.m3u;;United States of America;English;128
94573;123 All Classic Rock;http://str4uice.streamakaci.com/4uclassicrock.mp3;rock,classic Rock,Rock-Classic;France;;128
96609;12punks.FM;http://de-hz-fal-stream04.rautemusik.fm/12punks;punk,german pop;Germany;German;192
85849;13 Starz radio;http://listen.radionomy.com/13starzradio;;Switzerland;;128
92650;1431 AM;http://155.207.18.114:8001/1431high;anarchism,greek;Greece;Greek;128
44995;14482 Babelsberg Hitradio;http://babelsberg-hitradio.de/listen.pls;;Germany;German;185
92023;16Bit.FM Cafe (128 kbps);http://www.16bit.fm/play/16bit.fm_cafe_128.m3u;pop,electronic,soft music,relax,chillout,easy listening;Russia;;128
88239;16Bit.FM Cafe (192 kbps);http://16bit.fm/play/16bit.fm_cafe_192.m3u;pop,electronic,soft music,relax,chillout,easy listening;Russia;English;192
92025;16Bit.FM Cafe (32 kbps);http://www.16bit.fm/play/16bit.fm_cafe_32.m3u;pop,electronic,soft music,relax,chillout,easy listening;Russia;;32
92021;16Bit.FM I.D.E.A. (128 kbps);http://www.16bit.fm/play/16bit.fm_idea_128.m3u;8 bit,synth,minimal,electronic;Russia;;128
92020;16Bit.FM I.D.E.A. (192 kbps);http://www.16bit.fm/play/16bit.fm_idea_192.m3u;8 bit,synth,minimal,electronic;Russia;;128
92018;16Bit.FM ProBeat (128 kbps);http://www.16bit.fm/play/16bit.fm_128.m3u;8 bit,progressive,synth,electronic;Russia;;128
88238;16Bit.FM ProBeat (192 kbps);http://16bit.fm/play/16bit.fm_192.m3u;8 bit,progressive,synth,electronic;Russia;English;192
97370;181.FM - 80's Country;http://www.181.fm/stream/pls/181-80scountry.pls;80s,country,waynesboro;United States of America;English;128
97366;181.FM - 80's HairBand;http://www.181.fm/stream/pls/181-hairband.pls;80s,metal,hair metal,waynesboro;United States of America;English;128
97375;181.FM - 90's Alternative;http://www.181.fm/stream/pls/181-90salt.pls;90s,alternative,waynesboro;United States of America;English;128
97373;181.FM - 90's Country;http://www.181.fm/stream/pls/181-90scountry.pls;90s,country,waynesboro;United States of America;English;128
97376;181.FM - 90's Dance;http://www.181.fm/stream/pls/181-90sdance.pls;90s,dance,waynesboro;United States of America;English;128
97401;181.FM - Acid Jazz;http://www.181.fm/stream/pls/181-acidjazz.pls;acid jazz,waynesboro;United States of America;English;128
56974;181.FM - Awesome 80's;http://www.181.fm/stream/pls/181-awesome80s.pls;1980s,80s,waynesboro;United States of America;English;128
97367;181.FM - Beatles;http://www.181.fm/stream/pls/181-beatles.pls;oldies,beat,pop,rock,waynesboro;United States of America;English;128
97407;181.FM - BeBop Jazz;http://www.181.fm/stream/pls/181-bebop.pls;jazz,bebop,waynesboro;United States of America;English;128
89981;181.FM - Chilled Out;http://www.181.fm/stream/pls/181-chilled.pls;chillout,waynesboro;United States of America;English;128
97400;181.FM - Chloe@181.FM;http://www.181.fm/stream/pls/181-chloe.pls;adult album alternative,alternative rock,waynesboro;United States of America;English;128
97431;181.FM - Christmas Blender;http://www.181.fm/stream/pls/181-xblender.pls;christmas music,waynesboro;United States of America;English;128
97414;181.FM - Christmas Classics;http://www.181.fm/stream/pls/181-xtraditional.pls;christmas music,waynesboro;United States of America;English;128
97426;181.FM - Christmas Fun;http://www.181.fm/stream/pls/181-xfun.pls;comedy,christmas music,waynesboro;United States of America;English;128
97423;181.FM - Christmas Gospel;http://www.181.fm/stream/pls/181-xgospel.pls;gospel,christmas music,waynesboro;United States of America;English;128
97428;181.FM - Christmas Highway;http://www.181.fm/stream/pls/181-xhighway.pls;christmas music,waynesboro;United States of America;English;128
97421;181.FM - Christmas Kids;http://www.181.fm/stream/pls/181-xkids.pls;children,kids,christmas music,waynesboro;United States of America;English;128
97425;181.FM - Christmas Kountry;http://www.181.fm/stream/pls/181-xkkountry.pls;country,christmas music,waynesboro;United States of America;English;128
97416;181.FM - Christmas Mix;http://www.181.fm/stream/pls/181-xmix.pls;christmas music,waynesboro;United States of America;English;128
97422;181.FM - Christmas Oldies;http://www.181.fm/stream/pls/181-xoldies.pls;classic hits,christmas music,waynesboro;United States of America;English;128
97418;181.FM - Christmas Power;http://www.181.fm/stream/pls/181-xpower.pls;christmas music,waynesboro;United States of America;English;128
97419;181.FM - Christmas R&B;http://www.181.fm/stream/pls/181-xtrue.pls;soul,rnb,christmas music,waynesboro;United States of America;English;128
97429;181.FM - Christmas Rock;http://www.181.fm/stream/pls/181-xrock.pls;christmas music,waynesboro;United States of America;English;128
97417;181.FM - Christmas Smooth Jazz;http://www.181.fm/stream/pls/181-xsmooth.pls;smooth jazz,christmas music,waynesboro;United States of America;English;128
97427;181.FM - Christmas Soundtracks;http://www.181.fm/stream/pls/181-xsoundtrax.pls;soundtracks,christmas music,waynesboro;United States of America;English;128
97430;181.FM - Christmas Spirit;http://www.181.fm/stream/pls/181-xspirit.pls;christian contemporary,christmas music,waynesboro;United States of America;English;128
97415;181.FM - Christmas Standards;http://www.181.fm/stream/pls/181-xstandards.pls;adult standards,christmas music,waynesboro;United States of America;English;128
97424;181.FM - Christmas Swing;http://www.181.fm/stream/pls/181-xswing.pls;jazz,swing,christmas music,waynesboro;United States of America;English;128
97384;181.FM - Classic Buzz (Alt);http://www.181.fm/stream/pls/181-classicbuzz.pls;alternative,waynesboro;United States of America;English;128
91541;181.FM - Classic Hits 181;http://www.181.fm/stream/pls/181-greatoldies.pls;classic hits,waynesboro;United States of America;English;128
93024;181.FM - Classical Guitar;http://www.181.fm/stream/pls/181-classicalguitar.pls;guitar,classical guitar,waynesboro;United States of America;English;128
97399;181.FM - Classical Jazz;http://www.181.fm/stream/pls/181-classicaljazz.pls;classic jazz,waynesboro;United States of America;English;128
97395;181.FM - Classical Music;http://www.181.fm/stream/pls/181-classical.pls;classical,waynesboro;United States of America;English;128
97391;181.FM - Comedy Club;http://www.181.fm/stream/pls/181-comedy.pls;talk,comedy,waynesboro;United States of America;English;128
97389;181.FM - Energy 93 (Euro EDM);http://www.181.fm/stream/pls/181-energy93.pls;edm,waynesboro;United States of America;English;128
90289;181.FM - Energy 98;http://www.181.fm/stream/pls/181-energy98.pls;dance,house,waynesboro;United States of America;English;128
96366;181.FM - Front Porch (Bluegrass);http://www.181.fm/stream/pls/181-frontporch.pls;bluegrass,waynesboro;United States of America;English;128
97403;181.FM - Fusion Jazz;http://www.181.fm/stream/pls/181-fusionjazz.pls;fusion jazz,waynesboro;United States of America;English;128
92556;181.FM - Good Time Oldies Radio;http://www.181.fm/stream/pls/181-goodtime.pls;oldies,waynesboro;United States of America;English;128
47443;181.FM - Highway 181;http://www.181.fm/stream/pls/181-highway.pls;classic country,waynesboro;United States of America;English;128
97392;181.FM - Jammin 181;http://www.181.fm/stream/pls/181-jammin.pls;soul,rnb,waynesboro;United States of America;English;128
47446;181.FM - Kickin' Country;http://www.181.fm/stream/pls/181-kickincountry.pls;country,pop,rock,waynesboro;United States of America;English;128
97371;181.FM - Lite 80's;http://www.181.fm/stream/pls/181-lite80s.pls;1980s,80s,waynesboro;United States of America;English;128
97374;181.FM - Lite 90's;http://www.181.fm/stream/pls/181-lite90s.pls;1990s,90s,waynesboro;United States of America;English;128
89445;181.FM - Mellow Gold;http://www.181.fm/stream/pls/181-mellow.pls;classic hits,waynesboro;United States of America;English;128
97377;181.FM - Old School HipHop/RnB;http://www.181.fm/stream/pls/181-oldschool.pls;oldschool,hiphop,rnb,waynesboro;United States of America;English;128
97382;181.FM - Party 181;http://www.181.fm/stream/pls/181-party.pls;pop,top 40,waynesboro;United States of America;English;128
83481;181.FM - Power 181 (Top 40);http://www.181.fm/stream/pls/181-power.pls;pop,top 40,waynesboro;United States of America;English;128
37018;181.FM - Real Country;http://www.181.fm/stream/pls/181-realcountry.pls;country,waynesboro;United States of America;English;128
97394;181.FM - Reggae Roots;http://www.181.fm/stream/pls/181-reggae.pls;reggae,waynesboro;United States of America;English;128
47453;181.FM - Rock 181;http://www.181.fm/stream/pls/181-rock.pls;rock,waynesboro;United States of America;English;128
97385;181.FM - Rock 40 (Rock & Roll);http://www.181.fm/stream/pls/181-rock40.pls;rock'n'roll,waynesboro;United States of America;English;128
97397;181.FM - Salsa;http://www.181.fm/stream/pls/181-salsa.pls;salsa,waynesboro;United States of America;English;128
